Site,Depth,Sand,Silt,Clay,BulkD,Th33,Th1500,Theta_r,Theta_s,Alpha,N,Ks,Ko,L
BOIS,75,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
BOWL,5,58,28.8,13.2,1.23,0.19,0.051,0.021,0.428,0.246,1.35,89,18.7,-0.66
BOWL,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
BOWL,25,47.2,26.4,26.4,1.67,0.252,0.125,0.044,0.356,0.125,1.33,8.8,4.4,-0.68
BOWL,45,38.2,28.4,33.4,1.62,0.296,0.164,0.055,0.383,0.105,1.31,6.1,3.2,-0.6
BOWL,60,31.4,31.5,37.1,1.67,0.314,0.189,0.057,0.38,0.106,1.26,3.2,3,-0.91
BOWL,75,26.8,35.3,37.9,1.67,0.298,0.182,0.059,0.376,0.14,1.25,4,3.9,-1.33
BREC,5,18.8,57.1,24.1,1.4,0.303,0.149,0.058,0.421,0.093,1.39,18.6,3,-0.14
BREC,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
BREC,25,8.1,48.5,43.4,1.41,0.347,0.237,0.091,0.461,0.232,1.23,9.5,5.7,-2.3
BREC,45,9,43.6,47.5,1.56,0.411,0.314,0.081,0.443,0.229,1.14,1.3,4.4,-5.5
BREC,60,11.7,43.5,44.8,1.56,0.412,0.299,0.075,0.443,0.147,1.16,1.3,3.2,-3.29
BREC,75,14.4,42.1,43.4,1.62,0.383,0.29,0.077,0.418,0.24,1.14,1.2,4.8,-5.09
BRIS,5,64.3,11.9,23.9,1.27,0.158,0.043,0.025,0.453,0.391,1.34,197,35.8,-1.06
BRIS,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
BRIS,25,46.4,34.7,18.9,1.54,0.225,0.079,0.032,0.36,0.109,1.41,16.7,4.8,-0.21
BRIS,45,41.4,37.2,21.4,1.51,0.245,0.092,0.037,0.372,0.092,1.43,13.4,3.8,-0.06
BRIS,60,41.2,36.7,22.1,1.53,0.246,0.093,0.037,0.369,0.089,1.43,12.5,3.6,-0.06
BRIS,75,41.9,36,22.1,1.57,0.256,0.098,0.039,0.365,0.075,1.45,9.8,2.8,0.06
BROK,5,45.4,40.8,13.8,1.45,0.19,0.044,0.021,0.358,0.139,1.42,27.3,7.7,-0.28
BROK,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
BROK,25,31.8,41,27.2,1.56,0.243,0.117,0.046,0.372,0.148,1.35,10.6,5.5,-0.74
BROK,45,28.3,35.5,36.2,1.59,0.289,0.166,0.06,0.391,0.138,1.29,7.2,4.1,-0.98
BROK,60,31.1,34.1,34.8,1.7,0.29,0.167,0.053,0.365,0.116,1.28,3.6,3.4,-0.93
BROK,75,32.1,34.2,33.6,1.7,0.297,0.161,0.051,0.365,0.083,1.31,3,2.4,-0.42
BUFF,5,31.8,48,20.2,1.44,0.22,0.077,0.031,0.375,0.131,1.41,18,6.4,-0.3
BUFF,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
BUFF,25,24.8,53.1,22.1,1.48,0.226,0.08,0.033,0.368,0.114,1.42,14.3,5.1,-0.23
